video_id,video_title,upload_date,view_count,like_count,comment_count
zD2focOkQ48,Bioinformatics Project from Scratch - Drug Discovery Part 3 (Dataset Preparation),2020-06-11,13463,465,116
SNOOHEylMVQ,Data Science Virtual Internship - Part 9 (NSW Government),2020-06-09,4070,167,61
ZZ4B0QUHuNc,How to Build Your First Data Science Web App in Python - Streamlit Tutorial #1,2020-06-07,277752,8170,346
ZtTt822bDNE,Learn Data Science for Free with Kaggle Micro-Courses,2020-06-05,13926,521,65
xSbZSnwWgnM,Data Science Virtual Internship - Part 8 (Careers in Tech by Commonwealth Bank),2020-06-03,3479,113,26
TU3koPyFZfw,Papers With Code (Free Resource of Machine Learning Papers and Code),2020-06-01,12082,460,40
11QDgwJlNPQ,Data Science Virtual Internship - Part 7 (McGrathNicol in Cybersecurity Data),2020-05-30,2001,53,13
QVVuKPGsQa4,Data Science Virtual Internship - Part 6 (BCG in Digital Transformation),2020-05-28,3137,71,21
R8GJoiwPyLo,Data Science Virtual Internship - Part 5 (Y Combinator Startup),2020-05-26,2917,83,20
qWVTxfLq2ak,Bioinformatics Project from Scratch - Drug Discovery Part 2 (Exploratory Data Analysis),2020-05-24,24335,696,168
bleEv3QJ9FI,Data Science Virtual Internship - Part 4 (JP Morgan Chase Software Engineering),2020-05-22,7273,210,27
WEV31Ttl6NI,Data Science Virtual Internship - Part 3 (GE Data Analytics),2020-05-20,9901,329,38
gWQw26FUAYs,Data Science Virtual Internship - Part 2 (Deloitte Tech Consulting),2020-05-18,10938,343,48
Ri1MfaSlSW0,How to use R and Python in same notebook on Google Colab,2020-05-08,8454,356,62
017g4eJnTx4,How to use Grepper for Data Science,2020-05-06,6120,319,26
plVLRashaA8,Bioinformatics Project from Scratch - Drug Discovery Part 1 (Data Collection and Pre-Processing),2020-05-04,101873,2810,254
4ycWoP09Lyk,How to use Pandas Profiling on Kaggle,2020-05-02,1499,53,13
PyzMTgJ5dHY,How to use Bamboolib for Data Wrangling in Data Science,2020-04-30,8277,316,29
1TVRJQCWF80,How to Adjust the Style of Pandas DataFrame,2020-04-28,16444,372,24
pLxgt20kKWU,How to Install and Use Pandas Profiling on Google Colab,2020-04-26,12221,407,62
6HFlwqK3oeo,How to Upload Files to Google Colab,2020-04-24,50003,754,79
4Rn4YMLUjGc,Quick tour of PyCaret (a low-code machine learning library in Python),2020-04-22,25804,692,57
9m4n2xVzk9o,Exploratory Data Analysis in Python using pandas,2020-04-20,51885,1551,93
Ef169VELt5o,Pandas Profiling for Data Science (Quick and Easy Exploratory Data Analysis),2020-04-18,26653,768,80
VXFFHHoE1wk,Data Science for Computational Drug Discovery using Python (Part 1),2020-04-16,28333,873,85
ooj84UP3r6M,Easy Web Scraping in Python using Pandas for Data Science,2020-04-14,71853,1636,125
e8Syou92H8U,How to Save and Download files from Google Colab,2020-04-12,54159,751,70
huAWa0bqxtA,Use native R on Google Colab for Data Science,2020-04-10,17942,513,93
Rm2ak31u1us,Installing conda on Google Colab for Data Science,2020-04-08,14498,324,76
uVJXPPrWRJ0,How to Plot an ROC Curve in Python | Machine Learning in Python,2020-04-06,42739,752,82
oiusrJ0btwA,Machine Learning in Python: Principal Component Analysis (PCA) for Handling High-Dimensional Data,2020-04-04,31230,706,90
R15LjD8aCzc,Machine Learning in Python: Building a Linear Regression Model,2020-04-02,100160,1828,120
6UcWs33Xti0,Pandas for Data Science: Create and Combine DataFrames / Rename Columns,2020-03-31,2780,72,6
InZ16tcM9Pc,File Handling in Google Colab for Data Science,2020-03-29,17391,342,34
oCngVVBSsmA,Practical Introduction to Google Colab for Data Science,2020-03-26,33663,780,54
jUxhUgkKAjE,Hyperparameter Tuning of Machine Learning Model in Python,2020-03-21,33720,764,72
QlNjjSge65Y,Compare Machine Learning Classifiers in Python,2020-03-15,15753,450,47
XmSlFPDjKdc,Machine Learning in Python: Building a Classification Model,2020-03-11,77446,1321,92
5Sekjv0aouI,Making Scatter Plots in R [Data Visualisation in R series],2020-03-08,4568,72,8
34yBgah8Uyg,Interpretable Machine Learning Models,2020-03-03,5985,162,13
qATvD6kQ47s,Using Python in R,2020-02-28,25962,518,46
zyh2HU1efo4,What programming language to learn for Data Science? R versus Python,2020-02-15,15047,503,44
el8xP38SWdk,Machine Learning in R: Building a Linear Regression Model,2020-02-06,18189,387,16
9EQ6cwBQpvo,Web Apps in R: Build BMI Calculator web application in R for health monitoring | Shiny Tutorial Ep 5,2020-02-01,8596,167,38
ceg7MMQNln8,Web Apps in R: Building the Machine Learning Web Application in R | Shiny Tutorial Ep 4,2020-01-29,11786,275,71
CYXvVuklWRM,Web Apps in R: Building Data-Driven Web Application in R | Shiny Tutorial Ep 3,2020-01-25,16272,390,64
lC1Dk6gUbe0,Web Apps in R: Build Interactive Histogram Web Application in R | Shiny Tutorial Ep 2,2020-01-19,20603,553,39
